date;BC_3MONTH;BC_1YEAR;BC_3YEAR;BC_5YEAR;BC_10YEAR;BC_30YEAR
03/01/2017;0,53;0,89;1,5;1,94;2,45;3,04
04/01/2017;0,53;0,87;1,5;1,94;2,46;3,05
05/01/2017;0,52;0,83;1,43;1,86;2,37;2,96
06/01/2017;0,53;0,85;1,5;1,92;2,42;3
09/01/2017;0,5;0,82;1,47;1,89;2,38;2,97
10/01/2017;0,52;0,82;1,47;1,89;2,38;2,97
11/01/2017;0,52;0,82;1,47;1,89;2,38;2,96
12/01/2017;0,52;0,81;1,45;1,87;2,36;3,01
13/01/2017;0,53;0,82;1,48;1,9;2,4;2,99
17/01/2017;0,55;0,8;1,42;1,84;2,33;2,93
18/01/2017;0,53;0,82;1,51;1,93;2,42;3
19/01/2017;0,52;0,83;1,53;1,97;2,47;3,04
20/01/2017;0,5;0,82;1,5;1,95;2,48;3,05
23/01/2017;0,51;0,79;1,43;1,88;2,41;2,99
24/01/2017;0,51;0,81;1,49;1,94;2,47;3,05
25/01/2017;0,5;0,82;1,52;1,99;2,53;3,1
26/01/2017;0,51;0,82;1,49;1,95;2,51;3,08
27/01/2017;0,52;0,82;1,48;1,94;2,49;3,06
30/01/2017;0,51;0,81;1,48;1,94;2,49;3,08
31/01/2017;0,52;0,84;1,46;1,9;2,45;3,05
01/02/2017;0,51;0,83;1,49;1,93;2,48;3,08
02/02/2017;0,52;0,84;1,48;1,92;2,48;3,09
03/02/2017;0,51;0,82;1,49;1,93;2,49;3,11
06/02/2017;0,53;0,79;1,43;1,86;2,42;3,05
07/02/2017;0,53;0,8;1,43;1,85;2,4;3,02
08/02/2017;0,54;0,79;1,4;1,81;2,34;2,96
09/02/2017;0,54;0,8;1,46;1,88;2,4;3,02
10/02/2017;0,55;0,81;1,47;1,89;2,41;3,01
13/02/2017;0,52;0,82;1,48;1,92;2,43;3,03
14/02/2017;0,54;0,84;1,53;1,98;2,47;3,07
15/02/2017;0,54;0,86;1,57;2,01;2,51;3,09
16/02/2017;0,53;0,82;1,5;1,95;2,45;3,05
17/02/2017;0,53;0,82;1,48;1,92;2,42;3,03
21/02/2017;0,53;0,83;1,5;1,93;2,43;3,04
22/02/2017;0,52;0,82;1,49;1,92;2,42;3,04
23/02/2017;0,51;0,81;1,44;1,87;2,38;3,02
24/02/2017;0,52;0,8;1,38;1,8;2,31;2,95
27/02/2017;0,5;0,81;1,46;1,87;2,36;2,98
28/02/2017;0,53;0,88;1,49;1,89;2,36;2,97
01/03/2017;0,63;0,92;1,57;1,99;2,46;3,06
02/03/2017;0,67;0,98;1,6;2,03;2,49;3,09
03/03/2017;0,71;0,98;1,59;2,02;2,49;3,08
06/03/2017;0,74;0,97;1,6;2,02;2,49;3,1
07/03/2017;0,76;1,02;1,62;2,05;2,52;3,11
08/03/2017;0,73;1,03;1,65;2,08;2,57;3,15
09/03/2017;0,73;1,04;1,67;2,13;2,6;3,19
10/03/2017;0,75;1,03;1,66;2,11;2,58;3,16
13/03/2017;0,79;1,06;1,69;2,14;2,62;3,2
14/03/2017;0,78;1,06;1,68;2,13;2,6;3,17
15/03/2017;0,73;1,02;1,59;2,02;2,51;3,11
16/03/2017;0,73;1,01;1,63;2,05;2,53;3,14
17/03/2017;0,73;1;1,6;2,03;2,5;3,11
20/03/2017;0,76;1,01;1,57;2;2,47;3,08
21/03/2017;0,77;1;1,54;1,96;2,43;3,04
22/03/2017;0,77;0,99;1,52;1,95;2,4;3,02
23/03/2017;0,76;0,99;1,52;1,95;2,41;3,02
24/03/2017;0,78;1;1,52;1,93;2,4;3
27/03/2017;0,78;1;1,51;1,93;2,38;2,98
28/03/2017;0,78;1,03;1,56;1,97;2,42;3,02
29/03/2017;0,78;1,04;1,53;1,93;2,39;2,99
30/03/2017;0,78;1,03;1,55;1,96;2,42;3,03
31/03/2017;0,76;1,03;1,5;1,93;2,4;3,02
03/04/2017;0,79;1,02;1,47;1,88;2,35;2,98
04/04/2017;0,79;1,03;1,47;1,88;2,36;2,99
05/04/2017;0,8;1,03;1,44;1,85;2,34;2,98
06/04/2017;0,79;1,05;1,45;1,87;2,34;2,99
07/04/2017;0,82;1,08;1,52;1,92;2,38;3
10/04/2017;0,82;1,07;1,52;1,91;2,37;2,99
11/04/2017;0,82;1,05;1,45;1,84;2,32;2,93
12/04/2017;0,81;1,04;1,44;1,81;2,28;2,92
13/04/2017;0,81;1,03;1,4;1,77;2,24;2,89
17/04/2017;0,83;1,04;1,42;1,79;2,26;2,92
18/04/2017;0,82;1,02;1,35;1,71;2,18;2,84
19/04/2017;0,81;1,02;1,38;1,74;2,21;2,87
14/04/2017;0;0;0;0;0;0
20/04/2017;0,79;1,01;1,41;1,78;2,24;2,89
21/04/2017;0,79;0,99;1,4;1,77;2,24;2,89
